 format: day,hour,forecast,value  location:51_109 Start : 20160301 
5,200,61,0.9
5,500,4,2.7
5,500,7,2.8
5,500,10,1.5
5,500,13,1.8
5,500,16,0.3
5,500,19,1.3
5,500,22,2.7
5,500,25,4.1
5,500,28,3.3
5,500,31,2.4
5,500,34,1.5
5,500,37,1
5,500,40,1
5,500,43,1.5
5,500,46,2.5
5,500,49,2.9
5,500,52,1.9
5,500,55,1
5,500,58,0.9
5,800,4,2.8
5,800,7,1.5
5,800,10,1.8
5,800,13,0.3
5,800,16,1.3
5,800,19,2.7
5,800,22,4.1
5,800,25,3.3
5,800,28,2.4
5,800,31,1.5
5,800,34,1
5,800,37,1
5,800,40,1.5
5,800,43,2.5
5,800,46,2.9
5,800,49,1.9
5,800,52,1
5,800,55,0.9
5,1100,4,1.5
5,1100,7,1.8
5,1100,10,0.3
5,1100,13,1.3
5,1100,16,2.7
5,1100,19,4.1
5,1100,22,3.3
5,1100,25,2.4
5,1100,28,1.5
5,1100,31,1
5,1100,34,1
5,1100,37,1.5
5,1100,40,2.5
5,1100,43,2.9
5,1100,46,1.9
5,1100,49,1
5,1100,52,0.9
5,1400,4,2
5,1400,7,0.7
5,1400,10,1.9
5,1400,13,4.4
5,1400,16,5.5
5,1400,19,3.9
5,1400,22,2.9
5,1400,25,1.9
5,1400,28,1
5,1400,31,1
5,1400,34,1.8
5,1400,37,2.8
5,1400,40,3
5,1400,43,2
5,1400,46,1
5,1400,49,1
5,1700,4,0.7
5,1700,7,1.9
5,1700,10,4.4
5,1700,13,5.5
5,1700,16,3.9
5,1700,19,2.9
5,1700,22,1.9
5,1700,25,1
5,1700,28,1
5,1700,31,1.8
5,1700,34,2.8
5,1700,37,3
5,1700,40,2
5,1700,43,1
5,1700,46,1
5,2000,4,1.9
5,2000,7,4.4
5,2000,10,5.5
5,2000,13,3.9
5,2000,16,2.9
5,2000,19,1.9
5,2000,22,1
5,2000,25,1
5,2000,28,1.8
5,2000,31,2.9
5,2000,34,3
5,2000,37,2
5,2000,40,1
5,2000,43,1
5,2000,46,1
5,2000,49,1
5,2000,52,2
5,2000,55,3
5,2000,58,5
5,2000,61,5
5,2000,64,5
5,2000,67,5
5,2300,4,4.4
5,2300,7,5.5
5,2300,10,3.9
5,2300,13,2.9
5,2300,16,1.9
5,2300,19,1
5,2300,22,1
5,2300,25,1.8
5,2300,28,2.9
5,2300,31,3
5,2300,34,2
5,2300,37,1
5,2300,40,1
5,2300,43,1
5,2300,46,1
5,2300,49,2
5,2300,52,3
5,2300,55,5
5,2300,58,5
5,2300,61,5
5,2300,64,5
6,200,4,5.5
6,200,7,3.9
6,200,10,2.9
6,200,13,1.9
6,200,16,1
6,200,19,1
6,200,22,1.8
6,200,25,2.9
6,200,28,3
6,200,31,2
6,200,34,1
6,200,37,1
6,200,40,1
6,200,43,1
6,200,46,2
6,200,49,3
6,200,52,5
6,200,55,5
6,200,58,5
6,200,61,5
6,500,4,3.9
6,500,7,2.9
6,500,10,1.9
6,500,13,1
6,500,16,1
6,500,19,1.8
6,500,22,2.9
6,500,25,3
6,500,28,2
6,500,31,1
6,500,34,1
6,500,37,1
6,500,40,1
6,500,43,2
6,500,46,3
6,500,49,5
6,500,52,5
6,500,55,5
6,500,58,5
6,800,4,3.3
6,800,7,2.4
6,800,10,2.1
6,800,13,1.8
6,800,16,1.9
6,800,19,1.9
6,800,22,3.4
6,800,25,3
6,800,28,2.9
6,800,31,1.4
6,800,34,1.4
6,800,37,1.2
6,800,40,2.6
6,800,43,5.2
6,800,46,5.5
6,800,49,5
6,800,52,4.7
6,800,55,3.3
6,1100,4,2.4
6,1100,7,2.1
6,1100,10,1.8
6,1100,13,1.9
6,1100,16,1.9
6,1100,19,3.4
6,1100,22,3
6,1100,25,2.9
6,1100,28,1.4
6,1100,31,1.4
6,1100,34,1.2
6,1100,37,2.6
6,1100,40,5.2
6,1100,43,5.5
6,1100,46,5
6,1100,49,4.7
6,1100,52,3.3
6,1400,4,1.6
6,1400,7,1.3
6,1400,10,1.5
6,1400,13,1.2
6,1400,16,2.9
6,1400,19,2.3
6,1400,22,2.3
6,1400,25,0.9
6,1400,28,1.5
6,1400,31,0.7
6,1400,34,2.2
6,1400,37,3.9
6,1400,40,4.4
6,1400,43,4.3
6,1400,46,3.9
6,1400,49,2.8
6,1700,4,1.3
6,1700,7,1.5
6,1700,10,1.2
6,1700,13,2.9
6,1700,16,2.3
6,1700,19,2.3
6,1700,22,0.9
6,1700,25,1.5
6,1700,28,0.7
6,1700,31,2.2
6,1700,34,3.9
6,1700,37,4.4
6,1700,40,4.3
6,1700,43,3.9
6,1700,46,2.8
6,2000,4,1.5
6,2000,7,1.2
6,2000,10,2.9
6,2000,13,2.3
6,2000,16,2.3
6,2000,19,1
6,2000,22,1.5
6,2000,25,0.7
6,2000,28,2.2
6,2000,31,3.9
6,2000,34,4.4
6,2000,37,4.3
6,2000,40,3.9
6,2000,43,2.8
6,2000,46,3.7
6,2000,49,3.8
6,2000,52,3
6,2000,55,3.6
6,2000,58,5
6,2000,61,4.5
6,2000,64,6.3
6,2000,67,3.6
6,2300,4,1.2
6,2300,7,2.9
6,2300,10,2.3
6,2300,13,2.3
6,2300,16,1
6,2300,19,1.5
6,2300,22,0.7
6,2300,25,2.2
6,2300,28,3.9
6,2300,31,4.4
6,2300,34,4.3
6,2300,37,3.9
6,2300,40,2.8
6,2300,43,3.7
6,2300,46,3.8
6,2300,49,3
6,2300,52,3.6
6,2300,55,5
6,2300,58,4.5
6,2300,61,6.3
6,2300,64,3.6
7,200,4,3.4
7,200,7,3
7,200,10,2.9
7,200,13,1.4
7,200,16,1.4
7,200,19,1.2
7,200,22,2.6
7,200,25,5.2
7,200,28,5.5
7,200,31,5
7,200,34,4.6
7,200,37,3.2
7,200,40,4.2
7,200,43,4.7
7,200,46,3.6
7,200,49,4.3
7,200,52,6.2
7,200,55,4.1
7,200,58,6.4
7,200,61,4.2
7,500,4,3
7,500,7,2.9
7,500,10,1.4
7,500,13,1.4
7,500,16,1.2
7,500,19,2.6
7,500,22,5.2
7,500,25,5.5
7,500,28,5
7,500,31,4.6
7,500,34,3.2
7,500,37,4.2
7,500,40,4.7
7,500,43,3.6
7,500,46,4.3
7,500,49,6.2
7,500,52,4.1
7,500,55,6.4
7,500,58,4.2
7,800,4,2.2
7,800,7,1.3
7,800,10,1.8
7,800,13,1.8
7,800,16,2
7,800,19,2.6
7,800,22,4.6
7,800,25,5.1
7,800,28,4.7
7,800,31,3.8
7,800,34,4.1
7,800,37,4.7
7,800,40,3.8
7,800,43,5.7
7,800,46,6
7,800,49,5.9
7,800,52,5.3
7,800,55,3.9
7,1100,4,1.3
7,1100,7,1.8
7,1100,10,1.8
7,1100,13,2
7,1100,16,2.6
7,1100,19,4.6
7,1100,22,5.1
7,1100,25,4.7
7,1100,28,3.8
7,1100,31,4.1
7,1100,34,4.7
7,1100,37,3.8
7,1100,40,5.7
7,1100,43,6
7,1100,46,5.9
7,1100,49,5.3
7,1100,52,3.9
7,1400,4,1.8
7,1400,7,1.8
7,1400,10,2
7,1400,13,2.3
7,1400,16,4.6
7,1400,19,5.1
7,1400,22,4.7
7,1400,25,3.8
7,1400,28,4.1
7,1400,31,4.7
7,1400,34,3.8
7,1400,37,5.7
7,1400,40,6
7,1400,43,5.9
7,1400,46,5.3
7,1400,49,3.9
7,1700,4,1.8
7,1700,7,2
7,1700,10,2.3
7,1700,13,4.6
7,1700,16,5.1
7,1700,19,4.7
7,1700,22,3.8
7,1700,25,4.1
7,1700,28,4.7
7,1700,31,3.8
7,1700,34,5.7
7,1700,37,6
7,1700,40,5.9
7,1700,43,5.3
7,1700,46,3.9
7,2000,4,1.9
7,2000,7,2.3
7,2000,10,3.9
7,2000,13,4.1
7,2000,16,4.1
7,2000,19,3.2
7,2000,22,3.5
7,2000,25,3.8
7,2000,28,3.4
7,2000,31,5
7,2000,34,4.9
7,2000,37,5.4
7,2000,40,4.7
7,2000,43,3
7,2000,46,3.3
7,2000,49,2.7
7,2000,52,2.9
7,2000,55,3.3
7,2000,58,5.1
7,2000,61,4.2
7,2000,64,4.5
7,2000,67,2.2
7,2300,4,2.3
7,2300,7,3.9
7,2300,10,4.1
7,2300,13,4.1
7,2300,16,3.2
7,2300,19,3.5
7,2300,22,3.8
7,2300,25,3.4
7,2300,28,5
7,2300,31,4.9
7,2300,34,5.4
7,2300,37,4.7
7,2300,40,3
7,2300,43,3.3
7,2300,46,2.7
7,2300,49,2.9
7,2300,52,3.3
7,2300,55,5.1
7,2300,58,4.2
7,2300,61,4.5
7,2300,64,2.2
8,200,4,4.8
8,200,7,4.8
8,200,10,4.8
8,200,13,3.8
8,200,16,3.9
8,200,19,4.7
8,200,22,3.8
8,200,25,5.8
8,200,28,5.7
8,200,31,6
8,200,34,5.8
8,200,37,3.6
8,200,40,3.8
8,200,43,3.6
8,200,46,3.8
8,200,49,3.9
8,200,52,6.6
8,200,55,4.1
8,200,58,4.8
8,200,61,2.8
8,500,4,4.8
8,500,7,4.8
8,500,10,3.8
8,500,13,3.9
8,500,16,4.7
8,500,19,3.8
8,500,22,5.8
8,500,25,5.7
8,500,28,6
8,500,31,5.8
8,500,34,3.6
8,500,37,3.8
8,500,40,3.6
8,500,43,3.8
8,500,46,3.9
8,500,49,6.6
8,500,52,4.1
8,500,55,4.8
8,500,58,2.8
8,800,4,4.8
8,800,7,3.8
8,800,10,3.9
8,800,13,4.7
8,800,16,3.8
8,800,19,5.8
8,800,22,5.7
8,800,25,6
8,800,28,5.8
8,800,31,3.6
8,800,34,3.8
8,800,37,3.6
8,800,40,3.8
8,800,43,3.9
8,800,46,6.6
8,800,49,4.1
8,800,52,4.8
8,800,55,2.8
8,1100,4,3.8
8,1100,7,3.9
8,1100,10,4.7
8,1100,13,3.8
8,1100,16,5.8
8,1100,19,5.7
8,1100,22,6
8,1100,25,5.8
8,1100,28,3.6
8,1100,31,3.8
8,1100,34,3.6
8,1100,37,3.8
8,1100,40,3.9
8,1100,43,6.6
8,1100,46,4.1
8,1100,49,4.8
8,1100,52,2.8
8,1400,4,3.9
8,1400,7,4.7
8,1400,10,3.8
8,1400,13,5.8
8,1400,16,5.7
8,1400,19,6
8,1400,22,5.8
8,1400,25,3.6
8,1400,28,3.8
8,1400,31,3.6
8,1400,34,3.8
8,1400,37,3.9
8,1400,40,6.6
8,1400,43,4.1
8,1400,46,4.8
8,1400,49,2.8
8,1700,4,4.7
8,1700,7,3.8
8,1700,10,5.8
8,1700,13,5.7
8,1700,16,6
8,1700,19,5.8
8,1700,22,3.6
8,1700,25,3.8
8,1700,28,3.6
8,1700,31,3.8
8,1700,34,3.9
8,1700,37,6.6
8,1700,40,4.1
8,1700,43,4.8
8,1700,46,2.8
8,2000,4,4.1
8,2000,7,4.5
8,2000,10,6.7
8,2000,13,6.5
8,2000,16,5.2
8,2000,19,3.2
8,2000,22,3.9
8,2000,25,2.8
8,2000,28,3
8,2000,31,4.6
8,2000,34,5.4
8,2000,37,6
8,2000,40,5
8,2000,43,2.8
8,2000,46,2.6
8,2000,49,2.6
8,2000,52,3.2
8,2000,55,3.9
8,2000,58,6.6
8,2000,61,3.9
8,2000,64,3.7
8,2000,67,1.4
8,2300,4,4.5
8,2300,7,6.7
8,2300,10,6.5
8,2300,13,5.2
8,2300,16,3.2
8,2300,19,3.9
8,2300,22,2.8
8,2300,25,3
8,2300,28,4.6
8,2300,31,5.4
8,2300,34,6
8,2300,37,5
8,2300,40,2.8
8,2300,43,2.6
8,2300,46,2.6
8,2300,49,3.2
8,2300,52,3.9
8,2300,55,6.6
8,2300,58,3.9
8,2300,61,3.7
8,2300,64,1.4
9,200,4,6.5
9,200,7,6.9
9,200,10,5
9,200,13,2.9
9,200,16,3.8
9,200,19,2.8
9,200,22,2.9
9,200,25,4.9
9,200,28,5.7
9,200,31,5.7
9,200,34,4.8
9,200,37,2.8
9,200,40,2.9
9,200,43,2.8
9,200,46,2.8
9,200,49,3.9
9,200,52,6.6
9,200,55,4
9,200,58,3.9
9,200,61,1.9
9,500,4,6.9
9,500,7,5
9,500,10,2.9
9,500,13,3.8
9,500,16,2.8
9,500,19,2.9
9,500,22,4.9
9,500,25,5.7
9,500,28,5.7
9,500,31,4.8
9,500,34,2.8
9,500,37,2.9
9,500,40,2.8
9,500,43,2.8
9,500,46,3.9
9,500,49,6.6
9,500,52,4
9,500,55,3.9
9,500,58,1.9
9,800,4,5
