 format: day,hour,forecast,value  location:51_109 Start : 20160301 
6,200,16,84
6,200,19,84
6,200,22,70
6,200,25,62
6,200,28,66
6,200,31,76
6,200,34,85
6,200,37,95
6,200,40,95
6,200,43,89
6,200,46,70
6,200,49,46
6,200,52,41
6,200,55,46
6,200,58,54
6,200,61,63
6,500,4,56
6,500,7,70
6,500,10,75
6,500,13,84
6,500,16,84
6,500,19,70
6,500,22,62
6,500,25,66
6,500,28,76
6,500,31,85
6,500,34,95
6,500,37,95
6,500,40,89
6,500,43,70
6,500,46,46
6,500,49,41
6,500,52,46
6,500,55,54
6,500,58,63
6,800,4,70
6,800,7,79
6,800,10,80
6,800,13,80
6,800,16,66
6,800,19,62
6,800,22,66
6,800,25,76
6,800,28,85
6,800,31,90
6,800,34,95
6,800,37,90
6,800,40,79
6,800,43,51
6,800,46,41
6,800,49,46
6,800,52,55
6,800,55,55
6,1100,4,78
6,1100,7,80
6,1100,10,80
6,1100,13,66
6,1100,16,61
6,1100,19,66
6,1100,22,76
6,1100,25,85
6,1100,28,90
6,1100,31,95
6,1100,34,90
6,1100,37,79
6,1100,40,51
6,1100,43,41
6,1100,46,46
6,1100,49,55
6,1100,52,55
6,1400,4,80
6,1400,7,80
6,1400,10,68
6,1400,13,62
6,1400,16,67
6,1400,19,77
6,1400,22,85
6,1400,25,90
6,1400,28,93
6,1400,31,90
6,1400,34,78
6,1400,37,53
6,1400,40,43
6,1400,43,48
6,1400,46,55
6,1400,49,55
6,1700,4,80
6,1700,7,68
6,1700,10,62
6,1700,13,67
6,1700,16,77
6,1700,19,85
6,1700,22,90
6,1700,25,93
6,1700,28,90
6,1700,31,78
6,1700,34,53
6,1700,37,43
6,1700,40,48
6,1700,43,55
6,1700,46,55
6,2000,4,65
6,2000,7,50
6,2000,10,50
6,2000,13,50
6,2000,16,65
6,2000,19,75
6,2000,22,75
6,2000,25,70
6,2000,28,60
6,2000,31,45
6,2000,34,40
6,2000,37,45
6,2000,40,55
6,2000,43,60
6,2000,46,60
6,2000,49,55
6,2000,52,50
6,2000,55,40
6,2000,58,40
6,2000,61,40
6,2000,64,50
6,2000,67,55
6,2300,4,50
6,2300,7,50
6,2300,10,50
6,2300,13,65
6,2300,16,75
6,2300,19,75
6,2300,22,70
6,2300,25,60
6,2300,28,45
6,2300,31,40
6,2300,34,45
6,2300,37,55
6,2300,40,60
6,2300,43,60
6,2300,46,55
6,2300,49,50
6,2300,52,40
6,2300,55,40
6,2300,58,40
6,2300,61,50
6,2300,64,55
7,200,4,50
7,200,7,51
7,200,10,65
7,200,13,75
7,200,16,75
7,200,19,70
7,200,22,60
7,200,25,45
7,200,28,40
7,200,31,45
7,200,34,55
7,200,37,60
7,200,40,60
7,200,43,60
7,200,46,55
7,200,49,45
7,200,52,40
7,200,55,40
7,200,58,50
7,200,61,55
7,500,4,59
7,500,7,69
7,500,10,75
7,500,13,75
7,500,16,70
7,500,19,60
7,500,22,45
7,500,25,40
7,500,28,45
7,500,31,55
7,500,34,60
7,500,37,60
7,500,40,60
7,500,43,55
7,500,46,45
7,500,49,40
7,500,52,40
7,500,55,50
7,500,58,55
7,800,4,69
7,800,7,75
7,800,10,75
7,800,13,70
7,800,16,60
7,800,19,45
7,800,22,40
7,800,25,45
7,800,28,55
7,800,31,60
7,800,34,60
7,800,37,60
7,800,40,55
