 format: day,hour,forecast,value  location:52_110 Start : 20160301 
4,800,31,95
4,800,34,90
4,800,37,90
4,800,40,85
4,800,43,65
4,800,46,50
4,800,49,50
4,800,52,70
4,800,55,75
4,1100,4,90
4,1100,7,85
4,1100,10,80
4,1100,13,80
4,1100,16,80
4,1100,19,85
4,1100,22,90
4,1100,25,95
4,1100,28,95
4,1100,31,90
4,1100,34,90
4,1100,37,85
4,1100,40,65
4,1100,43,50
4,1100,46,50
4,1100,49,70
4,1100,52,75
4,1400,4,85
4,1400,7,80
4,1400,10,80
4,1400,13,80
4,1400,16,85
4,1400,19,90
4,1400,22,95
4,1400,25,95
4,1400,28,90
4,1400,31,90
4,1400,34,85
4,1400,37,65
4,1400,40,50
4,1400,43,50
4,1400,46,70
4,1400,49,75
4,1700,4,80
4,1700,7,80
4,1700,10,80
4,1700,13,85
4,1700,16,90
4,1700,19,95
4,1700,22,95
4,1700,25,90
4,1700,28,90
4,1700,31,85
4,1700,34,65
4,1700,37,50
4,1700,40,50
4,1700,43,70
4,1700,46,75
4,2000,4,80
4,2000,7,80
4,2000,10,85
4,2000,13,90
4,2000,16,95
4,2000,19,95
4,2000,22,90
4,2000,25,90
4,2000,28,85
4,2000,31,65
4,2000,34,50
4,2000,37,50
4,2000,40,70
4,2000,43,75
4,2000,46,77
4,2000,49,78
4,2000,52,64
4,2000,55,50
4,2000,58,60
4,2000,61,76
4,2000,64,83
4,2000,67,90
4,2300,4,80
4,2300,7,85
4,2300,10,90
4,2300,13,95
4,2300,16,95
4,2300,19,90
4,2300,22,90
4,2300,25,85
4,2300,28,65
4,2300,31,50
4,2300,34,50
4,2300,37,70
4,2300,40,75
4,2300,43,77
4,2300,46,78
4,2300,49,64
4,2300,52,50
4,2300,55,60
4,2300,58,76
4,2300,61,83
4,2300,64,90
5,200,4,85
5,200,7,90
5,200,10,95
5,200,13,95
5,200,16,90
5,200,19,90
5,200,22,85
5,200,25,65
5,200,28,50
5,200,31,50
5,200,34,70
5,200,37,75
5,200,40,80
5,200,43,80
5,200,46,65
5,200,49,50
5,200,52,60
5,200,55,75
5,200,58,85
5,200,61,90
5,500,4,90
5,500,7,95
5,500,10,95
5,500,13,90
5,500,16,90
5,500,19,85
5,500,22,65
5,500,25,50
5,500,28,50
5,500,31,70
5,500,34,75
5,500,37,80
5,500,40,80
5,500,43,65
5,500,46,50
5,500,49,60
5,500,52,75
5,500,55,85
5,500,58,90
5,800,4,95
5,800,7,95
5,800,10,90
5,800,13,90
